NumberOfWords,NumberPositive,NumberNegative,SentimentScore,MPCDate
390,21,9,0.9838,2017-03-02
412,16,15,0.8539,2020-03-03
433,15,20,-0.4076,2019-03-05
543,18,17,0.9595,2019-11-05
523,30,17,0.9903,2018-09-05
429,29,9,0.9928,2018-03-07
502,20,18,0.8673,2019-05-07
434,28,14,0.9878,2016-09-07
354,25,8,0.9898,2017-09-07
650,28,19,0.9874,2018-11-08
381,20,19,0.7215,2019-07-09
602,31,7,0.9961,2017-11-09
410,33,11,0.9961,2018-05-10
504,31,12,0.9936,2018-07-11
417,26,10,0.9906,2017-05-12
390,19,16,0.9075,2019-09-12
500,30,14,0.9888,2016-07-13
390,26,9,0.9882,2017-07-13
513,33,13,0.9943,2017-01-19
381,21,14,0.9718,2020-01-22
674,34,13,0.9973,2016-11-23
446,24,16,0.9782,2019-01-24
489,36,9,0.9972,2018-01-25
