Age,variable,value
15-19,Increment_2016,0
20-24,Increment_2016,0
25-29,Increment_2016,3.61
30-34,Increment_2016,2.29
35-39,Increment_2016,6.38
40-44,Increment_2016,1.21
45-49,Increment_2016,0
50-54,Increment_2016,4
55-59,Increment_2016,4
60-64,Increment_2016,7.14
Jumlah,Increment_2016,2.99
15-19,Increment_2017,31.11
20-24,Increment_2017,16.67
25-29,Increment_2017,7.24
30-34,Increment_2017,6.05
35-39,Increment_2017,0
40-44,Increment_2017,4
45-49,Increment_2017,0
50-54,Increment_2017,5.77
55-59,Increment_2017,9.42
60-64,Increment_2017,20
Jumlah,Increment_2017,8
15-19,Increment_2018,20.59
20-24,Increment_2018,12.07
25-29,Increment_2018,5.6
30-34,Increment_2018,4.61
35-39,Increment_2018,5.32
40-44,Increment_2018,5.31
45-49,Increment_2018,4.68
50-54,Increment_2018,3.45
55-59,Increment_2018,6.36
60-64,Increment_2018,16.56
Jumlah,Increment_2018,6.85
15-19,Increment_2019,1.9
20-24,Increment_2019,0.51
25-29,Increment_2019,4.45
30-34,Increment_2019,8
35-39,Increment_2019,9.87
40-44,Increment_2019,9.42
45-49,Increment_2019,9.86
50-54,Increment_2019,8.79
55-59,Increment_2019,2.31
60-64,Increment_2019,8.29
Jumlah,Increment_2019,5.81
